id,formattedAddress,addressLine1,addressLine2,city,state,zipCode,county,latitude,longitude,propertyType,bedrooms,bathrooms,squareFootage,yearBuilt,status,price,listedDate,removedDate,createdDate,lastSeenDate,daysOnMarket,lotSize
"2001-Waycross-Pass-SW,-Marietta,-GA-30064","2001 Waycross Pass SW, Marietta, GA 30064",2001 Waycross Pass SW,,Marietta,GA,30064,Cobb,33.9037,-84.625584,Single Family,3,3.0,2755.0,2019.0,Active,775000,2024-04-29T00:00:00.000Z,,2020-09-21T22:17:27.712Z,2024-05-01T00:00:00.000Z,3,20125.0
"2800-Windsor-Knoll-Dr,-Dacula,-GA-30019","2800 Windsor Knoll Dr, Dacula, GA 30019",2800 Windsor Knoll Dr,,Dacula,GA,30019,Gwinnett,33.916759,-83.870249,Single Family,3,2.5,2612.0,2020.0,Active,485500,2024-04-12T00:00:00.000Z,,2020-09-21T22:37:53.031Z,2024-05-01T00:00:00.000Z,20,16553.0
"3045-Flat-Shoals-Rd,-Decatur,-GA-30034","3045 Flat Shoals Rd, Decatur, GA 30034",3045 Flat Shoals Rd,,Decatur,GA,30034,DeKalb,33.705639,-84.290504,Single Family,3,2.0,1740.0,1906.0,Active,360000,2024-01-28T00:00:00.000Z,,2020-09-21T23:10:36.782Z,2024-05-01T00:00:00.000Z,95,108900.0
"1655-Evans-Dr-SW,-Atlanta,-GA-30310","1655 Evans Dr SW, Atlanta, GA 30310",1655 Evans Dr SW,,Atlanta,GA,30310,Fulton,33.709594,-84.424458,Single Family,3,2.0,1800.0,1930.0,Active,390000,2024-03-22T00:00:00.000Z,,2020-09-21T23:20:42.464Z,2024-05-01T00:00:00.000Z,41,48787200.0
"412-Somerset-Close-SE,-Marietta,-GA-30067","412 Somerset Close SE, Marietta, GA 30067",412 Somerset Close SE,,Marietta,GA,30067,Cobb,33.943704,-84.463172,Single Family,3,3.0,2880.0,1991.0,Active,999000,2024-04-26T00:00:00.000Z,,2020-09-21T23:29:55.914Z,2024-05-01T00:00:00.000Z,6,19602.0
"3673-Dallas-Acworth-Hwy-NW,-Acworth,-GA-30101","3673 Dallas Acworth Hwy NW, Acworth, GA 30101",3673 Dallas Acworth Hwy NW,,Acworth,GA,30101,Cobb,34.044629,-84.730576,Single Family,3,1.0,1636.0,1952.0,Active,529000,2021-01-16T00:00:00.000Z,,2020-09-21T23:29:55.917Z,2024-05-01T00:00:00.000Z,1202,217800.0
"6189-Cedarcrest-Rd-NW,-Acworth,-GA-30101","6189 Cedarcrest Rd NW, Acworth, GA 30101",6189 Cedarcrest Rd NW,,Acworth,GA,30101,Cobb,34.060561,-84.728195,Single Family,3,3.0,,1984.0,Active,1600000,2017-11-02T00:00:00.000Z,,2020-09-21T23:30:13.214Z,2024-05-01T00:00:00.000Z,2373,
"1979-Chickadee-Way-SE,-Atlanta,-GA-30316","1979 Chickadee Way SE, Atlanta, GA 30316",1979 Chickadee Way SE,,Atlanta,GA,30316,DeKalb,33.707697,-84.308906,Single Family,3,2.5,1951.0,2018.0,Active,475000,2024-03-04T00:00:00.000Z,,2020-09-21T23:31:30.288Z,2024-05-01T00:00:00.000Z,59,13068.0
"1680-Bristol-Dr-NE,-Atlanta,-GA-30329","1680 Bristol Dr NE, Atlanta, GA 30329",1680 Bristol Dr NE,,Atlanta,GA,30329,DeKalb,33.830824,-84.316675,Single Family,3,2.0,1375.0,1950.0,Active,560000,2024-04-17T00:00:00.000Z,,2020-09-21T23:34:04.416Z,2024-05-01T00:00:00.000Z,15,8712.0
"1349-Montreat-Ave-SW,-Atlanta,-GA-30310","1349 Montreat Ave SW, Atlanta, GA 30310",1349 Montreat Ave SW,,Atlanta,GA,30310,Fulton,33.729588,-84.431883,Single Family,3,2.0,1500.0,1950.0,Active,385000,2024-04-03T00:00:00.000Z,,2020-09-21T23:34:32.525Z,2024-05-01T00:00:00.000Z,29,8233.0
